Year,Rank,MovieID,Gross
2022,195,rl1160741633,8309
2022,196,rl1026130689,7308
2022,197,rl774537985,6808
2022,198,rl1128301313,5977
2022,199,rl15893249,5959
2022,200,rl1715241729,5565
2021,1,rl1852801793,17130489
2021,2,rl2641527553,6373030
2021,3,rl2020639489,5205490
2021,4,rl2888073985,2903406
2021,5,rl2959508225,2297437
2021,6,rl2372436737,1510680
2021,7,rl192381697,1160359
2021,8,rl1869579009,974104
2021,9,rl359826177,941873
2021,10,rl209158913,665224
2021,11,rl2423096065,645401
2021,12,rl2976285441,600751
2021,13,rl1131184897,551113
2021,14,rl7570177,459426
2021,15,rl392659713,367414
2021,16,rl3194323713,278972
2021,17,rl2658304769,276841
2021,18,rl376603393,258608
2021,19,rl3009708801,221885
2021,20,rl2993062657,197537
2021,21,rl2456650497,196830
2021,22,rl1164673793,187705
2021,23,rl1147896577,187589
2021,24,rl2439873281,156518
2021,25,rl24347393,148199
2021,26,rl2037416705,143914
2021,27,rl2686747393,134528
2021,28,rl3177546497,133994
2021,29,rl141722369,105003
2021,30,rl2389213953,102276
2021,31,rl41124609,97729
2021,32,rl2938405633,91720
2021,33,rl1031045889,87528
2021,34,rl1852474113,83746
2021,35,rl1181451009,81489
2021,36,rl2405991169,78591
2021,37,rl158499585,77706
2021,38,rl57901825,75040
2021,39,rl1047823105,74965
2021,40,rl1512538881,67046
2021,41,rl393380609,57841
2021,42,rl1617920769,52559
2021,43,rl225936129,51050
2021,44,rl1529316097,49007
2021,45,rl1114211073,46734
2021,46,rl3680535297,41385
2021,47,rl2837742337,40569
2021,48,rl1869251329,39001
2021,49,rl3009839873,36445
2021,50,rl2154332929,35243
2021,51,rl1130988289,34758
2021,52,rl1198228225,32320
2021,53,rl1064600321,27475
2021,54,rl1869120257,27137
2021,55,rl2854519553,26603
2021,56,rl2171110145,26544
2021,57,rl2473427713,25669
2021,58,rl2904851201,24407
2021,59,rl242713345,16614
2021,60,rl1546093313,15831
2021,61,rl2675081985,15275
2021,62,rl2921628417,14945
2021,63,rl1634697985,13114
2021,64,rl1562870529,12717
2021,65,rl1147765505,9377
2021,66,rl3026617089,9020
2021,67,rl812942081,8562
2021,68,rl1164542721,6332
2021,69,rl2423423745,4996
2021,70,rl1579647745,2895
2021,71,rl3378414337,1837
2021,72,rl5800705,16
2020,1,rl5800705,6155361
2020,2,rl2243133953,5830719
2020,3,rl1162117889,3455372
2020,4,rl3853550081,2642944
2020,5,rl2672984833,2509318
2020,6,rl565019137,2234683
2020,7,rl2192802305,1957005
2020,8,rl3009708801,1581529
2020,9,rl2259911169,1356398
2020,10,rl2672788225,1328092
2020,11,rl1161986817,1302777
2020,12,rl3451552257,1199121
2020,13,rl465011201,1117422
2020,14,rl2645983745,972116
2020,15,rl2135982849,831777
2020,16,rl2662236673,828928
2020,17,rl3378414337,827913
2020,18,rl2427879937,821087
2020,19,rl615350785,804262
2020,20,rl3177546497,776886
2020,21,rl514621953,739278
2020,22,rl45842945,701541
2020,23,rl45056513,664398
2020,24,rl3680535297,653616
2020,25,rl625312513,631000
2020,26,rl3194323713,628579
2020,27,rl1628079873,619931
2020,28,rl3652813313,588928
2020,29,rl28279297,582615
2020,30,rl392659713,571612
2020,31,rl2489090817,548175
2020,32,rl2662760961,520660
2020,33,rl1196917505,511922
2020,34,rl2679538177,494642
2020,35,rl3847979777,489078
2020,36,rl2326823425,475946
2020,37,rl2276688385,462772
2020,38,rl1128301313,425427
2020,39,rl3686367745,420620
2020,40,rl61833729,403384
2020,41,rl3669590529,400662
2020,42,rl3646653185,392633
2020,43,rl197100033,391009
2020,44,rl2235663105,384891
2020,45,rl658735873,361539
2020,46,rl2444657153,328921
2020,47,rl3376972545,313802
2020,48,rl423854849,302841
2020,49,rl608535297,292034
2020,50,rl2723054337,283158
2020,51,rl624984833,265265
2020,52,rl3383460353,232235
2020,53,rl3092742913,223850
2020,54,rl3881534209,223672
2020,55,rl3544679169,214934
2020,56,rl2706277121,211670
2020,57,rl2522841857,202474
2020,58,rl3612574465,196329
2020,59,rl3199566337,188425
2020,60,rl2252440321,183170
2020,61,rl1984529153,180432
2020,62,rl2941158145,180108
2020,63,rl3813507841,179541
2020,64,rl2472510209,170917
2020,65,rl3468329473,162664
2020,66,rl3142222593,159470
2020,67,rl440632065,157942
2020,68,rl3485106689,152926
2020,69,rl2913239553,147774
2020,70,rl3495985921,147071
2020,71,rl878478081,142674
2020,72,rl3752296961,141484
2020,73,rl62620161,141129
2020,74,rl1917879041,134675
2020,75,rl3663758081,131564
2020,76,rl2438300417,129132
2020,77,rl1901101825,128344
2020,78,rl3461579521,126360
2020,79,rl3730866945,122011
2020,80,rl2656011009,118520
2020,81,rl1094746881,116117
2020,82,rl811369217,113136
2020,83,rl3216343553,112530
2020,84,rl498565633,111213
2020,85,rl2421129985,110715
2020,86,rl2892071681,108564
2020,87,rl2656862977,106174
2020,88,rl1917420289,103180
2020,89,rl481788417,102938
2020,90,rl3208872705,102239
2020,91,rl3703144961,101617
2020,92,rl744063745,100499
2020,93,rl1145078529,97085
2020,94,rl457409281,96263
2020,95,rl4181820161,96124
2020,96,rl760840961,95595
2020,97,rl558203649,92615
2020,98,rl4206068225,91587
2020,99,rl2421523201,88335
2020,100,rl2998239745,84697
2020,101,rl2494988801,81294
2020,102,rl1950974721,80188
2020,103,rl2489287425,79081
2020,104,rl3394470657,77681
2020,105,rl1129808641,77182
2020,106,rl2656404225,76944
2020,107,rl2168554241,76877
2020,108,rl1111786241,70776
2020,109,rl3211100929,69808
2020,110,rl279740929,68236
2020,111,rl641762049,65627
2020,112,rl3360916225,65316
2020,113,rl363627009,64929
2020,114,rl608207617,62503
2020,115,rl3629875969,62272
2020,116,rl3847062273,62129
2020,117,rl2957214465,60148
2020,118,rl2269217537,60087
2020,119,rl407077633,51621
2020,120,rl1161855745,49238
2020,121,rl112951809,47803
2020,122,rl3377693441,46734
2020,123,rl3830285057,45072
2020,124,rl3779953409,45071
2020,125,rl531399169,43001
2020,126,rl2444132865,41742
2020,127,rl3719922177,41327
2020,128,rl828146433,40530
2020,129,rl1900643073,40318
2020,130,rl1111655169,37724
2020,131,rl2673181441,37483
2020,132,rl2673640193,37442
2020,133,rl78610945,36172
2020,134,rl3611853569,35827
2020,135,rl3233448449,35824
2020,136,rl3697312513,34761
2020,137,rl2438759169,34655
2020,138,rl2460910081,34349
2020,139,rl3250225665,33137
2020,140,rl2102428417,32649
2020,141,rl3714089729,32346
2020,142,rl1111524097,31928
2020,143,rl296518145,30692
2020,144,rl2506064641,30050
2020,145,rl1163363073,29049
2020,146,rl3411247873,28634
2020,147,rl2119205633,28555
2020,148,rl591758081,28528
2020,149,rl1884324609,28015
2020,150,rl574980865,27453
2020,151,rl1178764033,27096
2020,152,rl2472313601,26396
2020,153,rl2959442689,26315
2020,154,rl4165042945,26105
2020,155,rl1145209601,26011
2020,156,rl1128563457,24982
2020,157,rl2421981953,24276
2020,158,rl240681729,24181
2020,159,rl3125445377,23917
2020,160,rl3864756993,22142
2020,161,rl3360195329,21826
2020,162,rl727286529,21708
2020,163,rl2908848897,20432
2020,164,rl1180140289,19578
2020,165,rl346849793,19543
2020,166,rl2656207617,19505
2020,167,rl3048571393,19236
2020,168,rl861700865,18647
2020,169,rl3444802305,18004
2020,170,rl1145340673,17635
2020,171,rl1934197505,17395
2020,172,rl2875294465,15667
2020,173,rl2689499905,14989
2020,174,rl2343600641,14719
2020,175,rl2218885889,14608
2020,176,rl3428025089,14218
2020,177,rl3747644161,10086
2020,178,rl2042331649,10077
2020,179,rl3796730625,7499
2020,180,rl2185331457,6518
2020,181,rl710509313,6361
2020,182,rl1146585857,6118
2020,183,rl2973991681,5377
2020,184,rl2455536385,5351
2020,185,rl1505722881,4927
2020,186,rl2202108673,4512
2020,187,rl4256399873,4071
2020,188,rl2421326593,3811
2020,189,rl162300417,3785
2020,190,rl380404225,2784
2020,191,rl844923649,2525
2020,192,rl1957462529,2065
2020,193,rl3062400769,1299
2020,194,rl1556054529,827
2020,195,rl1967751937,637
2020,196,rl1128432385,366
2020,197,rl257458945,273
2020,198,rl1606386177,91
2020,199,rl2276033025,17
2019,1,rl1003259649,11355349
2019,2,rl1756595713,5485487
2019,3,rl565019137,4595513
2019,4,rl1868727297,4061483
2019,5,rl882476545,3822440
2019,6,rl2999813889,3789840
2019,7,rl1848936193,3623691
2019,8,rl1453163009,3552253
2019,9,rl4094919681,3409318
2019,10,rl3086648321,3365873
2019,11,rl2953807617,3198434
2019,12,rl2521925377,3120251
2019,13,rl2913239553,2956221
2019,14,rl3062400769,2801557
2019,15,rl3373762305,2793213
2019,16,rl176064257,2767678
2019,17,rl2778759681,2296061
2019,18,rl203392513,2071567
2019,19,rl3338568705,2041789
2019,20,rl2767881729,1941049
2019,21,rl3383460353,1934221
2019,22,rl4052190721,1822160
2019,23,rl3614934785,1793002
2019,24,rl4173562881,1759582
2019,25,rl3122365441,1676800
2019,26,rl3752296961,1636650
2019,27,rl2660009473,1512473
2019,28,rl866222593,1449275
2019,29,rl2342486529,1443196
2019,30,rl4262954753,1386373
2019,31,rl3512239361,1338037
2019,32,rl1673430529,1332408
2019,33,rl615350785,1293143
2019,34,rl254182913,1278415
2019,35,rl1242990337,1233755
2019,36,rl1411876353,1222177
2019,37,rl3594748929,1211516
2019,38,rl1859553025,1203085
2019,39,rl3801384705,1147187
2019,40,rl1386185729,1123852
2019,41,rl3698033921,994646
2019,42,rl2934998017,986842
2019,43,rl1629193217,890010
2019,44,rl782861825,866010
2019,45,rl4159801089,835210
2019,46,rl4138436097,819674
2019,47,rl3500638721,803372
2019,48,rl2470807297,799885
2019,49,rl4204954113,785111
2019,50,rl907576321,702558
2019,51,rl2190771713,607777
2019,52,rl3366356481,592661
2019,53,rl2400748545,559460
2019,54,rl2669249537,532807
2019,55,rl3507324161,523293
2019,56,rl1420265217,517913
2019,57,rl3628893441,500963
2019,58,rl4255285761,485473
2019,59,rl2795536897,485284
2019,60,rl2477884417,469131
2019,61,rl2943976705,442060
2019,62,rl2359263745,397834
2019,63,rl522487297,385973
2019,64,rl2095023105,384054
2019,65,rl678528257,382313
2019,66,rl3008726273,382219
2019,67,rl1950385409,362606
2019,68,rl4138239489,355894
2019,69,rl1879475457,355114
2019,70,rl3229975553,353271
2019,71,rl514621953,284653
2019,72,rl2146206721,284626
2019,73,rl3015280129,265603
2019,74,rl3348136961,251806
2019,75,rl3070461185,244192
2019,76,rl1385530369,236858
2019,77,rl547522305,235494
2019,78,rl2054391553,199648
2019,79,rl3296560385,199592
2019,80,rl2284749825,197603
2019,81,rl1197114625,196894
2019,82,rl3830088705,192615
2019,83,rl3441001985,189428
2019,84,rl2376040961,186424
2019,85,rl2157937153,183349
2019,86,rl2812314113,179639
2019,87,rl2276033025,179371
2019,88,rl4145775617,168585
2019,89,rl2055832577,167217
2019,90,rl1383433473,162584
2019,91,rl431850497,153874
2019,92,rl2650899457,147902
2019,93,rl2992538881,139395
2019,94,rl2220918017,137743
2019,95,rl3516367873,130209
2019,96,rl2649654273,129770
2019,97,rl1048871937,126872
2019,98,rl2890106113,126012
2019,99,rl535200769,125461
2019,100,rl3534193153,124959
2019,101,rl2047509761,124606
2019,102,rl2315486465,122699
2019,103,rl3512763393,120312
2019,104,rl2695135745,115952
2019,105,rl3419964929,115447
2019,106,rl3332146177,114030
2019,107,rl249791489,112660
2019,108,rl3517415937,111341
2019,109,rl4277699585,110235
2019,110,rl1642824705,109845
2019,111,rl2174714369,102928
2019,112,rl2705687809,102912
2019,113,rl506430977,99687
2019,114,rl260211713,97907
2019,115,rl2598012673,97580
2019,116,rl916554241,95665
2019,117,rl342787329,90344
2019,118,rl3400237569,87424
2019,119,rl2940437761,85285
2019,120,rl1132037377,84020
2019,121,rl1627817217,83857
2019,122,rl2301986561,82148
2019,123,rl2935981569,79848
2019,124,rl3523904769,76211
2019,125,rl2524939521,75738
2019,126,rl3417014785,73701
2019,127,rl3373499393,72871
2019,128,rl3127608577,72674
2019,129,rl1235059201,71637
2019,130,rl1289651713,70700
2019,131,rl1584497921,67305
2019,132,rl797082625,66041
2019,133,rl2689042177,65804
2019,134,rl2782561281,58235
2019,135,rl711820545,57946
2019,136,rl3353052161,52012
2019,137,rl531399169,50588
2019,138,rl283870209,50496
2019,139,rl2121041665,48288
2019,140,rl2639233793,48271
2019,141,rl2926150913,46269
2019,142,rl2594210305,45422
2019,143,rl398361601,44459
2019,144,rl3088614401,44440
2019,145,rl1393394945,44311
2019,146,rl968263425,44308
2019,147,rl698450433,41205
2019,148,rl279740929,40075
2019,149,rl4037181953,39370
2019,150,rl4171858433,37825
2019,151,rl4188635649,37070
2019,152,rl2312995841,35297
2019,153,rl4238967297,35051
2019,154,rl715227649,34326
2019,155,rl4037640705,32166
2019,156,rl1957791233,31005
2019,157,rl4255744513,30707
2019,158,rl2907931905,29323
2019,159,rl296518145,28956
2019,160,rl364414465,28817
2019,161,rl1285390849,27311
2019,162,rl743016193,27009
2019,163,rl2745467393,25955
2019,164,rl1084064257,25826
2019,165,rl251560961,24381
